2w_bh_task_ratio,2w_bind_yuanbao_get_ratio,2w_bl_task_ratio,2w_bt_task_ratio,2w_chujia_cnt,2w_cjg_die_cnt,2w_create_team_ratio,2w_d_avg_f_bl_task_cnt,2w_d_avg_f_ml_task_cnt,2w_d_avg_merge_equip_cnt,2w_d_avg_xilian_equip_cnt,2w_divorce_cnt,2w_equip_play_time_ratio,2w_exp_play_time_ratio,2w_get_exp_ratio,2w_get_purple_equip_amt,2w_get_skillexp_ratio,2w_get_yl_ratio,2w_get_yp_ratio,2w_guild_chuangong_cnt,2w_hjh_fail_ratio,2w_jj_task_ratio,2w_kickout_team_cnt,2w_kickout_team_ratio,2w_killed_ratio,2w_leisure_task_die_cnt,2w_leisure_yabiao_die_cnt,2w_lw_time_ratio,2w_mh_time_ratio,2w_ml_task_ratio,2w_not_bind_yuanbao_get_ratio,2w_passionfight_die_cnt,2w_pet_play_time_ratio,2w_qmlf_yx_time_ratio,2w_qmlfsxyqt_time_ratio,2w_qy_ratio,2w_shitu_play_cnt,2w_shl_time_ratio,2w_shop_money_get_amt,2w_sjtx_die_cnt,2w_sjtx_time_ratio,2w_szqx_time_ratio,2w_task_giveup_ratio,2w_team_match_ratio,2w_tushi_play_cnt,2w_weiwang_play_time_ratio,2w_wl_time_ratio,2w_wxl_time_ratio,2w_wyc_time_ratio,2w_zjx_time_ratio,2w_zl_time_ratio,2w_zy_time_ratio,acm_get_hero_card_amt,acm_qy_num,acm_sjbl_cnt,acm_up_9_level_skill_amt,addtitle_cnt,baishifail_cnt,churn_friends_ratio,couple_latest_log_time,del_shitu_acm_cnt,deled_shitu_acm_cnt,equip_score_upgrade,f_bl_task_acm_num,f_ml_task_acm_num,friends_chat_num,friends_num,fund,guild_level,kickout_guild_acm_cnt,latest_rare_word_num_sjwq,level_upgrade,low_maintain,nie_lian_time,practice_score_upgrade,shifu_latest_log_time,shop_bankrupt_num,shop_num,skill_avg_level_upgrade,total_score_upgrade,watch_movie_acm_pct_avg,wuxue_score_upgrade
0.0,0.0,0.0,0.0,0.0,0.0,0.2432432432432433,0.0,0.0,3.14,0.0,0.0,0.1053530718161,0.16809128557369998,0.996096154519308,12,0.3781755975524755,0.5018955996440141,0.4614364027839027,1.0,0.0,0.0,3.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.16406779261629995,0.0,0.0,2.0,0.0,0.0132604431144,0.0929527018668,0.0,0.0,0.0618781405925,4635640.0,6.0,0.0062208031669,0.0478106425217,0.04782608695652174,0.0,0.0,0.010167714267199993,0.0139614616531,0.0,0.0,0.0303205245268,0.0,0.0089541863766,435,71.0,1.0,20,142.0,0.0,0.36585365853658536,0,17.0,13.0,0.0,216,168,14.0,41.0,34512502.0,4.0,0.0,0.0,0.0,0.0,191,0.0,-1,0.0,0.0,0.12,63.3413333339995,64.87713325131257,171.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692224465438,0.2600359162548,0.9983860710161409,0,0.3846836904880249,0.35489930216901705,0.4898346145509676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070494015816,0.0,0.0,0.0,0.0,0.0,0.1590800084771,0.0,0.0,0.1009559077777,0.0,0.0,0.0,0.0692224465438,0.0047393364928909965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103956365096,411,51.0,1.0,18,130.0,0.0,0.3333333333333333,0,2.0,2.0,0.0,179,188,2.0,3.0,7016464.0,4.0,2.0,0.0,0.0,1.0,272,0.0,-1,0.0,0.0,0.32,545.0,62.11052716861972,382.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2257042927491,0.4435434756129,0.9969663444316972,0,1.0,0.4648102002894306,0.4182444926521604,0.0,0.0,0.0,1.0,0.05882352941176471,0.0,2.0,0.0,0.0,0.0020358802136,0.0,0.5,0.0,0.0,0.045676799665900006,0.2418173276027,0.0,0.0,0.15604934834429998,0.0,0.0,0.0,0.1035514799283,0.020761245674740483,0.0,0.0,0.0,0.0395169569681,0.0,0.0,0.0369590561868,0.0,0.0,249,1.0,0.0,18,130.0,0.0,0.0,-1,1.0,1.0,0.0,46,107,0.0,8.0,73129888.0,7.0,1.0,0.0,0.0,0.0,35,0.0,-1,0.0,0.0,0.0,0.0,47.191469991747944,0.0
0.1158129175946548,0.5,0.0,0.0,0.0,0.0,0.3873239436619718,0.0,0.0,1.21,0.29,0.0,0.1458864184914,0.0773670657998,0.5565399894909517,4,0.6079100725899675,0.4920670608635627,0.5432534152032201,10.0,0.0,0.0,20.0,0.14084507042253522,0.0,0.0,0.0,0.0,0.0899831248025,0.0,0.5257874862578271,1.0,0.0,0.0072442331869,0.0350580547132,0.0,0.0,0.0230437208801,465833.0,126.0,0.0311854994318,0.0151406154404,0.008830022075055188,0.0,0.0,0.044826844338068696,0.0074593751470000014,0.0,0.023279032399,0.0055130127269000006,0.0,0.0144178729183,507,62.0,6.0,22,410.0,0.0,0.125,0,1.0,1.0,92.0,132,215,145.0,24.0,33906667.0,4.0,2.0,0.0,1.0,0.0,12,0.0,0,0.0,1.0,0.13,1359.3402999999962,54.142142289437416,101.0
0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.1573928760836,0.3063219075038,0.1862661513633641,0,0.546831648417603,0.4946524723291415,0.6103193735103848,0.0,0.0,0.0,1.0,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0115268472719,0.1753487818341,0.0,0.0,0.1028865823168,0.0,0.0,0.0,0.07392334917139999,0.0,0.0,0.0,0.0,0.0178043791196,0.0,0.0,0.0375786044397,0.0,0.0,244,2.0,0.0,13,19.0,0.0,0.0,-1,2.0,2.0,0.0,38,107,8.0,8.0,-1.0,-1.0,0.0,0.0,4.0,0.0,124,0.0,0,0.0,0.0,0.44,974.0,84.20880190841548,732.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.4861709073360901,0.9522413796934756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051955690618,0.0,0.5,0.0,0.0,0.0,0.0,0.2307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6258209979413001,426,89.0,2.0,23,115.0,0.0,0.0,-1,0.0,0.0,0.0,142,174,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,278,0.0,-1,0.0,0.0,0.0,0.0,80.51253694804991,0.0
0.10497237569060773,0.5,0.0027624309392265192,0.0,0.0,0.0,0.2790697674418605,0.07,0.57,3.93,0.0,0.0,0.1226299548259,0.1038883056562,0.5074261471313111,3,0.4878146038818904,0.5251908094970016,0.4861878974971583,8.0,0.0,0.0,12.0,0.13953488372093026,0.0,0.0,0.0,0.0,0.1507165807724,0.02209944751381216,0.5016065690824706,2.0,0.0,0.008382642998,0.0525068397276,0.0,0.0,0.032818763122700004,1524322.0,0.0,0.0,0.0240344849525,0.03978779840848806,0.0,0.0,0.0,0.0052649996818,0.0018849016987,0.0518228669593,0.0096631036457,0.0,0.0074720048355,404,21.0,0.0,16,69.0,0.0,0.2,0,0.0,0.0,1640.0,177,166,658.0,5.0,141971839.0,7.0,1.0,0.0,1.0,0.0,3873,958.0,0,0.0,1.0,0.54,4866.960666667001,25.944135573572467,2666.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1526774245343,0.35680595696850004,0.3083487080541437,0,0.339969024747047,0.9988875293568642,0.4884603504097606,0.0,0.0,0.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5027932960893855,0.0,0.0,0.0322133911368,0.1980671965317,0.0,0.0,0.1265253692999,0.0,0.0,0.0,0.0819283879254,0.0,0.0,0.0,0.0,0.015052986512500003,0.0,0.0,0.0234826589595,0.0,0.0,267,17.0,0.0,22,66.0,0.0,0.32,-1,5.0,5.0,0.0,40,149,0.0,25.0,19575000.0,1.0,0.0,0.0,2.0,0.0,350,0.0,-1,0.0,0.0,0.28,525.0,61.9078736611611,398.0
0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2757664763539,0.4434177089865,0.993823559638026,0,1.0,0.6754336243056343,0.7162618999163332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043562918715,0.0,0.0,0.0,0.0,0.0409227418237,0.2675159235668,0.0,0.0,0.1349790435959,0.0,0.0,0.0,0.0996006732451,0.1411764705882353,0.0,0.0,0.0,0.033299231048400005,0.0,0.0,0.1019438302366,0.0,0.0,259,14.0,0.0,24,27.0,0.0,0.0,-1,1.0,1.0,319.0,79,125,0.0,0.0,15467928.0,1.0,1.0,0.0,0.0,0.0,122,0.0,-1,0.0,0.0,0.0,319.0,57.357877128830786,0.0
0.0,0.5,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.21,0.0,0.0,0.1327599675839,0.0552241748132,0.3242065225618165,0,0.2666079941205401,0.5150038543339239,0.5005105657276273,2.0,0.0,0.0,7.0,0.2,0.0,0.0,0.0,0.0,0.0182596061882,0.0,0.0,0.0,0.0,0.007571056224399998,0.0251954821894,0.0,0.0,0.0173396900028,253500.0,0.0,0.0,0.0111047025239,0.13186813186813187,0.0,0.0,0.0,0.0175368148997,0.0,0.0386437807095,0.0129007293621,0.0,0.0329782651548,611,96.0,3.0,24,763.0,0.0,0.20454545454545456,-1,5.0,5.0,297.0,235,208,44.0,44.0,60191793.0,4.0,1.0,0.0,1.0,0.0,721,0.0,-1,0.0,0.0,0.22,1008.388699999996,57.60875727369537,395.0
0.1078838174273859,0.0,0.0,0.0,0.0,3.0,0.5862068965517241,0.0,0.0,0.0,0.14,0.0,0.1346892382936,0.2041348786746,0.9848076635900423,9,0.5798928193912792,0.4505160642577279,0.4141988632718891,0.0,0.0,0.0,1.0,0.03448275862068965,0.75,0.0,0.0,0.0,0.0016790948387,0.0,0.5,2.0,0.0,0.016351800506299998,0.1121290922554,0.0,0.0,0.07565398591280001,0.0,0.0,0.0,0.0499681402517,0.0,0.0,0.0,0.0,0.009359877383,0.0,0.0219229510737,0.0175142507792,0.0,0.0480737768439,484,55.0,4.0,22,477.0,0.0,0.44,-1,0.0,0.0,962.0,210,182,56.0,25.0,119623080.0,7.0,1.0,0.0,0.0,0.0,335,0.0,-1,0.0,1.0,0.18,1323.0999999999913,57.911542475423886,305.0
0.23554153522607785,0.5,0.011566771819137749,0.0,0.0,0.0,0.4015151515151515,0.79,0.5,3.93,0.0,0.0,0.1572810182832,0.0462148809677,0.4253566630271868,1,0.6896157114823862,0.5001609094888594,0.5078608954547681,24.0,0.0,0.0,19.0,0.14393939393939395,0.4,0.0,0.0,0.0010592764194,0.0766468303521,0.007360672975814931,0.5,3.0,0.0,0.0049088419439,0.0199970719188,0.04804804804804805,0.0,0.0130959865193,0.0,391.0,0.0912929774853,0.0091344649505,0.011458333333333329,0.0,0.0,0.09737879322866876,0.0036572307815,0.0059767303667,0.0744909588317,0.0033902586758000003,0.0,0.0150767473037,537,79.0,0.0,22,129.0,0.0,0.0,-1,1.0,1.0,1941.0,242,173,359.0,7.0,68142346.0,3.0,2.0,0.0,2.0,0.0,466,2135.0,-1,0.0,0.0,0.68,6351.473468691011,10.19799173947515,3194.0
0.041379310344827586,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.0,0.0,0.33,0.0,0.0,0.1734620531024,0.0870738369328,0.3293271837376381,0,0.3708722853790134,0.507580136928538,0.4937672660420032,0.0,0.0,0.0,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.006491280452,0.0,0.0,0.0,0.0,0.017240044675900002,0.0359840316712,0.0,0.0,0.0251578586515,0.0,0.0,0.0,0.015349058377200003,0.0,0.0,0.0,0.0,0.011025224209,0.0,0.07302966968560001,0.0196839509449,0.0,0.005860951685800001,454,66.0,2.0,20,203.0,0.0,0.7045454545454546,-1,6.0,5.0,1482.0,215,187,24.0,44.0,36315502.0,5.0,2.0,0.0,1.0,0.0,38,0.0,-1,0.0,0.0,0.36,3272.881333332989,58.74177088697372,418.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526316,0.0,0.0,1.08,0.08,0.0,0.12707470231110002,0.3541259542979001,0.4035757784874942,5,0.29892080857811393,0.4858125564510663,0.4579736645109036,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0010813205138,0.0,0.4658385093167702,1.0,0.0,0.030433309883,0.17457463717129998,0.0,0.0,0.1297845175747,0.0,0.0,0.0,0.07730790275930001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376,50.0,0.0,21,51.0,0.0,0.5531914893617021,-1,0.0,0.0,293.0,189,181,6.0,47.0,19728000.0,1.0,3.0,0.0,1.0,0.0,174,0.0,-1,1.0,-1.0,0.39,958.0,64.49127127515322,465.0
0.0,0.5,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.07,0.0,0.0,0.0,0.1483548500939,0.07320075835289999,0.3372029343209484,0,1.0,0.4834301359763265,0.6223848034288718,0.0,0.0,0.0,2.0,0.1176470588235294,0.0,0.0,0.0,0.0,0.0031515967269000003,0.01098901098901099,0.0,8.0,0.0,0.0,0.0446722421476,0.0,0.0,0.0285285162052,0.0,0.0,0.0,0.020600280689,0.0,0.0,0.0,0.0,0.0,0.0,0.07504739706010001,0.0,0.0,0.0312861633413,606,153.0,2.0,22,291.0,0.0,0.4375,-1,8.0,8.0,0.0,241,208,38.0,32.0,118503657.0,7.0,4.0,0.0,1.0,0.0,28,0.0,-1,0.0,0.0,0.0,0.0,66.40642467206875,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0581641122115,0.2376694516682,1.0,0,0.2651592283509591,0.5527498416055873,0.4590403466685055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601394345155,0.0,0.0,0.07753001715260001,0.0,0.0,0.0,0.0581641122115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,9.0,0.0,15,23.0,0.0,0.3448275862068966,-1,1.0,1.0,0.0,50,107,0.0,29.0,15985667.0,1.0,0.0,0.0,0.0,0.0,62,0.0,-1,0.0,0.0,0.16,280.0,90.39111737113896,280.0
0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0779885036867,0.2244051673657,0.4974883141739445,0,0.16129826901612174,0.4390326401533928,0.3771977138121237,0.0,0.0,0.0,1.0,0.05555555555555555,0.0,2.0,1.0,0.0,0.0018403661611,0.0,0.5,3.0,0.0,0.0,0.1307496504499,0.0,0.0,0.0916836960288,0.0,0.0,0.0,0.0575771698992,0.010309278350515464,0.0,0.0,0.0,0.0058676609424,0.0,0.0,0.012571851958,0.0,0.0,258,30.0,0.0,15,36.0,0.0,0.0,-1,1.0,1.0,0.0,104,129,2.0,0.0,1459735.0,1.0,0.0,0.0,1.0,0.0,15,0.0,-1,0.0,0.0,0.56,998.0,55.34269912315168,937.0
0.014778325123152709,0.0,0.0049261083743842365,0.0,0.0,0.0,0.08695652173913042,0.07,0.0,0.0,0.0,0.0,0.2388775229778,0.246562235997,0.9991206106065544,0,0.343618367497593,0.49894259302053007,0.4036674872158722,1.0,0.0,0.0,5.0,0.21739130434782608,0.0,1.0,0.0,0.0,0.002412287398,0.0,0.4965753424657534,0.0,0.0,0.0197461500096,0.1400857023624,0.0,0.0,0.0867303836249,0.0,0.0,0.0,0.0562052785326,0.014563106796116504,0.0,0.0,0.0,0.032011155556900005,0.0,0.05650045294,0.036265738394,0.0,0.0247335796512,671,175.0,4.0,18,327.0,0.0,0.4642857142857143,0,11.0,10.0,0.0,235,203,25.0,56.0,88259749.0,6.0,1.0,0.0,0.0,0.0,348,0.0,-1,0.0,0.0,0.23,127.0,64.19648175617449,300.0
0.007692307692307694,0.5,0.003846153846153847,0.0,0.0,0.0,0.3663366336633663,0.11,0.0,0.33,0.56,0.0,0.1133642368613,0.08635750826449999,0.4871319646724558,2,0.7417587386446697,0.4826242087741393,0.4986392990548186,2.0,0.0,0.0,9.0,0.0891089108910891,0.0,1.0,0.0,0.0026471149525,0.0150208383351,0.0,0.0,4.0,0.0,0.0,0.0429694473685,0.0,0.0,0.0291367327214,0.0,113.0,0.0689973590411,0.0181111911401,0.018726591760299626,0.0,0.0,0.13732986130348865,0.0104961185907,0.0,0.0295799705739,0.0113087213203,0.0,0.014780751165,609,154.0,2.0,23,341.0,0.0,0.2432432432432433,-1,2.0,2.0,63.0,236,208,44.0,37.0,85950633.0,6.0,4.0,0.0,1.0,0.0,782,297.0,-1,0.0,0.0,0.12,1685.1673333299989,63.856691287103175,439.0
0.0,0.0,0.0,0.0,0.0,0.0,0.41025641025641024,0.0,0.0,0.0,0.0,0.0,0.0802670701922,0.1610650950408,0.47710927734162706,3,0.4128531271969623,0.5488355551360471,0.5473785719311364,0.0,0.0,0.0,2.0,0.05128205128205128,0.0,1.0,0.0,0.0,0.4963231390039,0.0,0.0,0.0,0.0,0.0137782733354,0.090381756398,0.0,0.0,0.05690506530740001,0.0,0.0,0.0,0.0393238292449,0.0,0.0,0.0,0.0,0.0089200382287,0.0,0.0,0.018244929383,0.0,0.0,248,1.0,0.0,10,20.0,0.0,0.0,-1,0.0,0.0,0.0,43,124,2.0,0.0,23152045.0,7.0,4.0,0.0,1.0,0.0,26,0.0,-1,0.0,0.0,0.54,1290.0,56.29692278762824,873.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182496971927,0.2946813240727,0.9909324459676382,0,1.0,0.5357923444420805,0.7646117130506102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0401698787237,0.1385400855526,0.0,0.0,0.1159713597963,0.0,0.0,0.0,0.07169250111150001,0.027586206896551724,0.0,0.0,0.0,0.036229550925199985,0.0,0.0,0.0344050411664,0.0,0.0,547,121.0,2.0,22,259.0,0.0,0.3333333333333333,-1,6.0,6.0,0.0,231,208,2.0,18.0,19460150.0,1.0,2.0,0.0,0.0,0.0,55,0.0,-1,0.0,-1.0,0.0,0.0,64.12560844067579,0.0
0.10172413793103448,0.5,0.0,0.0,0.0,0.0,0.444015444015444,0.0,0.0,7.0,1.07,0.0,0.12280731030989997,0.0489949853565,0.3943776993644728,6,0.4616792237945555,0.5011609648093565,0.4981796281249489,1.0,0.0,0.0017241379310344827,13.0,0.05019305019305019,0.5,2.0,1.0,0.0024002425274,0.08689823583560001,0.0,0.5,1.0,0.0,0.006655597182,0.006469251586,0.02356902356902357,0.0,0.004764328446600001,759977.0,216.0,0.050221528757,0.0030204674215,0.03161397670549085,0.0,0.0,0.09602360748386164,0.008916775831799999,0.0139481069234,0.0111974234244,0.0050813940875,0.0,0.0231930735063,708,137.0,6.0,22,481.0,0.0,0.19047619047619047,-1,1.0,1.0,703.0,270,215,176.0,42.0,130149242.0,7.0,3.0,0.0,2.0,0.0,142,440.0,-1,0.0,1.0,0.7,2694.2293333400007,60.61332005322823,1407.0
0.26489028213166144,0.25,0.0,0.0,0.0,10.0,0.3125,0.0,0.0,1.29,1.57,0.0,0.08315790084139997,0.08495862112960001,0.5689794778575915,8,0.3984797471013328,0.4575880077984701,0.4983274694722962,6.0,0.0,0.0,32.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0080148001229,0.0,0.506482982171799,6.0,0.0,0.0025952409949,0.0401377942481,0.001564945226917058,4.0,0.0271064947718,0.0,155.0,0.05921209063330001,0.0179927043281,0.05891016200294553,0.0,0.0,0.08152536376869589,0.0040972910903,0.001719528391,0.0159948037185,0.0088586159101,0.0,0.0194744564492,551,55.0,10.0,25,1200.0,0.0,0.22916666666666666,-1,26.0,26.0,2091.0,221,215,447.0,48.0,137502681.0,7.0,6.0,0.0,1.0,0.0,287,546.0,-1,0.0,0.0,0.47,4371.437699999995,56.138030068802564,1096.0
