2w_bh_task_ratio,2w_bind_yuanbao_get_ratio,2w_bl_task_ratio,2w_bt_task_ratio,2w_chujia_cnt,2w_cjg_die_cnt,2w_create_team_ratio,2w_d_avg_f_bl_task_cnt,2w_d_avg_f_ml_task_cnt,2w_d_avg_merge_equip_cnt,2w_d_avg_xilian_equip_cnt,2w_divorce_cnt,2w_equip_play_time_ratio,2w_exp_play_time_ratio,2w_get_exp_ratio,2w_get_purple_equip_amt,2w_get_skillexp_ratio,2w_get_yl_ratio,2w_get_yp_ratio,2w_guild_chuangong_cnt,2w_hjh_fail_ratio,2w_jj_task_ratio,2w_kickout_team_cnt,2w_kickout_team_ratio,2w_killed_ratio,2w_leisure_task_die_cnt,2w_leisure_yabiao_die_cnt,2w_lw_time_ratio,2w_mh_time_ratio,2w_ml_task_ratio,2w_not_bind_yuanbao_get_ratio,2w_passionfight_die_cnt,2w_pet_play_time_ratio,2w_qmlf_yx_time_ratio,2w_qmlfsxyqt_time_ratio,2w_qy_ratio,2w_shitu_play_cnt,2w_shl_time_ratio,2w_shop_money_get_amt,2w_sjtx_die_cnt,2w_sjtx_time_ratio,2w_szqx_time_ratio,2w_task_giveup_ratio,2w_team_match_ratio,2w_tushi_play_cnt,2w_weiwang_play_time_ratio,2w_wl_time_ratio,2w_wxl_time_ratio,2w_wyc_time_ratio,2w_zjx_time_ratio,2w_zl_time_ratio,2w_zy_time_ratio,acm_get_hero_card_amt,acm_qy_num,acm_sjbl_cnt,acm_up_9_level_skill_amt,addtitle_cnt,baishifail_cnt,churn_friends_ratio,couple_latest_log_time,del_shitu_acm_cnt,deled_shitu_acm_cnt,equip_score_upgrade,f_bl_task_acm_num,f_ml_task_acm_num,friends_chat_num,friends_num,fund,guild_level,kickout_guild_acm_cnt,latest_rare_word_num_sjwq,level_upgrade,low_maintain,nie_lian_time,practice_score_upgrade,shifu_latest_log_time,shop_bankrupt_num,shop_num,skill_avg_level_upgrade,total_score_upgrade,watch_movie_acm_pct_avg,wuxue_score_upgrade
0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.1749802902132,0.3417144318254,0.9943502758098368,0,0.3934527204824311,0.4999265945139676,0.6180182526418718,0.0,0.0,0.0,12.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.5007824726134585,3.0,0.0,0.0326756301804,0.2021052182992,0.0,0.0,0.1069335833457,0.0,0.0,0.0,0.0698046067631,0.02403846153846154,0.0,0.0,0.0,0.0316528520594,0.0,0.0,0.0408472012102,0.0,0.0,212,1.0,0.0,21,21.0,0.0,0.0,-1,2.0,2.0,204.0,43,107,15.0,6.0,17298589.0,1.0,0.0,0.0,0.0,0.0,147,0.0,0,0.0,0.0,0.74,1679.0,79.37231612725425,1475.0
0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,0.54,0.0,0.0,0.0454710962082,0.1064035607341,0.9913121399285956,5,0.5276527367447734,0.5182886554098514,0.5607101329476651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6139059927067,0.0,0.5102040816326531,0.0,0.0,0.0,0.0676224274076,0.0,0.0,0.0387811333264,0.0,0.0,0.0,0.0288195557777,0.0,0.0,0.0,0.0,0.005836734472,0.0,0.0,0.0108148059584,0.0,0.0008586629856,257,10.0,0.0,11,16.0,0.0,0.0,-1,0.0,0.0,0.0,57,112,13.0,6.0,4629919.0,3.0,0.0,0.0,0.0,0.0,156,0.0,-1,0.0,0.0,0.32,645.0,47.743821269064426,645.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0919337016574,0.3546187845303,0.9808131165786071,0,1.0,0.4380022615759798,0.9589776337534212,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.501432664756447,1.0,0.0,0.0,0.21008839779,0.0,0.0,0.1445303867403,0.0,0.0,0.0,0.0919337016574,0.020408163265306117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241,13.0,0.0,16,21.0,0.0,0.0,-1,3.0,3.0,0.0,47,119,0.0,6.0,19577475.0,1.0,0.0,0.0,0.0,0.0,1091,0.0,-1,0.0,0.0,0.0,0.0,63.17446123943258,0.0
0.0,0.0,0.2087912087912088,0.0,0.0,0.0,0.7142857142857143,1.9,5.0,0.0,0.5,0.0,0.0044372294372,0.0,0.6483420833341129,0,0.5014492856008956,0.4973547042687866,0.4726163749888038,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.1208284140102,0.5494505494505495,0.4989065660707452,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043013,0.0,0.0,0.0,0.0044372294372,0.0,0.0,0.0,0.0,0.0065230224321,252,36.0,0.0,6,10.0,0.0,1.0,-1,0.0,0.0,14030.0,133,173,3.0,1.0,13604948.0,1.0,1.0,0.0,8.0,0.0,147,1640.0,-1,0.0,0.0,3.4,23909.640957614,96.44850356917915,8399.0
0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,5.9,0.0,0.0,0.0,0.1030140640991,0.1964259018617,0.565635156244491,4,0.4741240357696368,0.5090004894752805,0.5238299910198989,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765763175749,0.2964824120603015,0.0,1.0,0.0,0.0,0.1312917581848,0.0,0.0,0.0651341436769,1065841.0,0.0,0.0,0.0545774445428,0.0099009900990099,0.0,0.0,0.0,0.0263572488184,0.0,0.0,0.0220793707379,0.0,0.0,182,12.0,0.0,0,11.0,0.0,0.0,-1,0.0,0.0,2327.0,1,109,0.0,7.0,13697758.0,1.0,0.0,0.0,3.0,0.0,4,507.0,-1,0.0,1.0,2.38,7315.136974736997,35.74547488606935,4682.0
0.0,0.5,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,2.17,0.0,0.0,0.1502555249799,0.1940707949476,0.17206291991210967,0,0.24037106005182915,0.4555832108835378,0.5280770649877441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116310868784,0.1155502760353,0.005952380952380952,0.0,0.0590698548891,0.0,0.0,0.0,0.0494812586528,0.0,0.0,0.0,0.0,0.0259541593313,0.0,0.0,0.055369442972599985,0.0,0.0003247474661,393,36.0,0.0,22,53.0,0.0,0.3636363636363637,-1,2.0,2.0,1273.0,243,174,0.0,11.0,3090657.0,1.0,1.0,0.0,1.0,0.0,107,0.0,-1,0.0,0.0,0.87,3328.0,66.0785803938559,1817.0
0.0,0.0,0.053691275167785234,0.0,0.0,0.0,0.07142857142857142,0.57,0.0,0.0,0.0,0.0,0.11568935046360003,0.2312595563851,0.4341306429265212,0,0.5800085723592847,0.5121344489912989,0.7325289085355162,0.0,0.0,0.0,4.0,0.2857142857142857,0.6666666666666666,3.0,1.0,0.0,0.0064040191425,0.0,0.5,2.0,0.0,0.0,0.12700808197139998,0.0,0.0,0.1042514744137,0.0,0.0,0.0,0.05638515459,0.0,0.0,0.0,0.0,0.0251891419607,0.0,0.0,0.034115053912900005,0.0,0.0,214,8.0,0.0,6,14.0,0.0,0.0,-1,2.0,2.0,0.0,37,107,8.0,9.0,14043526.0,1.0,2.0,0.0,1.0,0.0,17,423.0,-1,0.0,0.0,0.0,602.9269373810023,69.08598988791013,289.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0743339889147,0.3835374575362,0.998917620274126,0,1.0,0.1221813792725078,0.2224099778716556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2409932057929,0.0,0.0,0.1425442517432,0.0,0.0,0.0,0.0743339889147,0.02158273381294964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0794072948328,276,10.0,0.0,10,30.0,0.0,0.0,-1,1.0,1.0,1426.0,58,159,5.0,5.0,13179122.0,1.0,0.0,0.0,0.0,0.0,9,0.0,-1,0.0,0.0,0.0,1878.0,70.34930998432708,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.46,0.0,0.0,0.2413359455667,0.0375685049376,1.0,1,1.0,0.4241899391107029,0.4789453413632849,0.0,0.0,0.0,4.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0454316803897,0.0,0.0,0.0,0.0,0.0,0.0129067273834,0.0,0.0,0.0090413280029,0.0,0.0,0.0,0.0052818299753000005,0.0,0.0,0.0,0.0,0.0193667099097,0.0,0.1637499669058,0.0373169892245,0.0,0.0100209155171,453,64.0,1.0,60,150.0,0.0,0.5,-1,2.0,2.0,0.0,193,204,30.0,4.0,-1.0,-1.0,3.0,0.0,0.0,0.0,206,0.0,-1,1.0,0.0,0.0,0.0,73.02775357620737,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0797058655439,0.284266473625,0.9894373386933352,0,1.0,0.481835693858674,0.9426045699323096,0.0,0.0,0.0,10.0,0.9090909090909092,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.16912731221299998,0.0,0.0,0.1151391614119,0.0,0.0,0.0,0.0797058655439,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345,11.0,0.0,15,97.0,0.0,0.2692307692307692,-1,7.0,7.0,278.0,131,197,0.0,26.0,-1.0,-1.0,2.0,0.0,0.0,0.0,47,0.0,-1,0.0,0.0,0.0,278.0,94.41073874950851,0.0
